id,type,title,confidence,score,status,recommended_action,manual_queries
metadata:dd9ed6e335f3d89e98063d51203e4d14,metadata_anomaly,Olmoe: Open mixture-of-experts language models,high,1.65,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Olmoe: Open mixture-of-experts language models"""
metadata:1e7ded607d03289d86afb5757db852be,metadata_anomaly,2 OLMo 2 Furious,high,1.4,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""2 OLMo 2 Furious"""
metadata:fbda45252358efa894d7f38a31a41b73,metadata_anomaly,CORD-19: The Covid-19 Open Research Dataset,high,1.4,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""CORD-19: The Covid-19 Open Research Dataset"""
metadata:ba16f24023bedab551e8123242c37762,metadata_anomaly,Dolma: An Open Corpus of Three Trillion Tokens for Language Model Pretraining Research,high,1.4,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Dolma: An Open Corpus of Three Trillion Tokens for Language Model Pretraining Research"""
metadata:7f60710b91c746f2bea6ef797b9658af,metadata_anomaly,Don't Stop Pretraining: Adapt Language Models to Domains and Tasks,high,1.4,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Don't Stop Pretraining: Adapt Language Models to Domains and Tasks"""
metadata:4fd41695f33167920c274e0972be1264,metadata_anomaly,Explaining Relationships Between Scientific Documents,high,1.4,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Explaining Relationships Between Scientific Documents"""
metadata:e5f2159b660a11d325dcb36083c86f8f,metadata_anomaly,Fact or Fiction: Verifying Scientific Claims,high,1.4,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Fact or Fiction: Verifying Scientific Claims"""
metadata:5d770b1bdd784dc05c9a7fb1524073cb,metadata_anomaly,LIMEADE: From AI Explanations to Advice Taking,high,1.4,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""LIMEADE: From AI Explanations to Advice Taking"""
metadata:d7278a67855db6cf1cd4c4c49fcd66f3,metadata_anomaly,Olmo: Accelerating the science of language models,high,1.4,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""Olmo: Accelerating the science of language models"""
metadata:96148af13d0936eeb13d00f19e2a7db2,metadata_anomaly,S2orc: The semantic scholar open research corpus,high,1.4,open,Inspect the Scholar cluster and choose the canonical entry with the correct year/venue metadata.,"""S2orc: The semantic scholar open research corpus"""
